Time,currency,offer(cash),bid(cash),offer(spot),bid(spot)
2020-12-30 09:27,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:28,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:29,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:30,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:31,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:32,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:33,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:33,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:34,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:35,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:35,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:36,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:36,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:37,AUD,21.02,21.8,21.31,21.51
2020-12-30 09:38,AUD,21.03,21.81,21.32,21.52
2020-12-30 09:39,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:40,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:41,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:42,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:43,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:44,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:45,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:47,AUD,21.04,21.82,21.33,21.53
2020-12-30 09:48,AUD,21.05,21.83,21.34,21.54
2020-12-30 09:49,AUD,21.05,21.83,21.34,21.54
2020-12-30 09:50,AUD,21.05,21.83,21.34,21.54
